Img TS,Enc TS,Encoder counts 1,Encoder counts 0,yaws,pitches
1746051712.540556,1746051712.5441103,-237,257,-2.5667464347360784,0.02536090365271093
1746051712.741656,1746051712.7461698,-237,257,-3.7089731399291406,-0.07721905122089368
1746051712.942247,1746051712.9460435,-119,318,-3.8422138579983853,-0.07108033696297866
1746051713.144255,1746051713.1474512,-95,340,-3.7263256147652903,-0.009044594820281304
1746051713.342687,1746051713.3470795,-59,343,-3.782412052091388,0.03249324161843958
1746051713.542095,1746051713.5456867,-26,352,-3.7825644481874656,0.029271976019927592
1746051713.7426834,1746051713.74603,10,352,-3.487134112534604,0.04249037290720992
1746051713.9428434,1746051713.946775,44,344,-2.5653741138647472,0.055241588567696454
1746051714.1430712,1746051714.1464992,81,341,-2.0122099982370774,-0.0052237722271826215
1746051714.3419647,1746051714.345244,111,331,-4.315940904268103,-0.057591681829507024
1746051714.543713,1746051714.5480316,148,319,-3.7306751835939833,0.010393849160820423
1746051714.740752,1746051714.7439132,178,294,-3.681511659362031,0.01998768755372282
1746051714.942947,1746051714.946494,206,289,-3.344377533238358,0.4241463474321705
1746051715.1413424,1746051715.1458385,233,263,-3.669566146042846,0.8930249911136485
1746051715.341177,1746051715.345147,258,235,-4.032379600837571,1.6457130708942174
1746051715.542122,1746051715.5457206,281,212,-4.574296035953286,1.9201757319954567
1746051715.7440653,1746051715.747763,300,175,-5.383090115175013,2.408467153007308
1746051715.9443994,1746051715.947817,318,151,-6.492140846795146,2.8385904004734215
1746051716.1390502,1746051716.1427574,330,112,-6.913986063532529,3.029955189028243
1746051716.3407643,1746051716.345051,341,82,-7.186495674833177,3.111944985233663
1746051716.5433784,1746051716.5464947,344,58,-8.632079113771812,2.740960476641547
1746051716.74157,1746051716.745419,350,21,-9.171897032298746,1.6449789423903525
1746051716.9412773,1746051716.9447074,350,-22,-9.827858948749952,1.2382855903215955
1746051717.1446266,1746051717.1484058,345,-58,-10.55962365314871,0.27156593525883466
1746051717.3379064,1746051717.3415823,339,-95,-11.322320513226018,-0.44021895957968127
1746051717.541469,1746051717.546189,330,-125,-12.29202324908908,-1.543950836978354
1746051717.7409763,1746051717.7453363,314,-154,-13.703284001503032,-2.4289418850738542
1746051717.941874,1746051717.9456563,297,-185,-13.62070436596209,-2.900910136394401
1746051718.1417167,1746051718.1450207,277,-211,-14.391334500149142,-3.8296157164009657
1746051718.3413148,1746051718.34684,255,-246,-15.286474503938983,-4.979608884133157
1746051718.5418642,1746051718.5452218,227,-261,-15.846467861923411,-5.867762800692162
1746051718.7418756,1746051718.7464018,201,-291,-15.52415398351458,-6.0681830407587825
1746051718.9450629,1746051718.9484806,173,-300,-16.409568229016752,-7.52485744143226
1746051719.1415403,1746051719.1447885,140,-327,-14.895808648483065,-7.797540628828145
1746051719.342771,1746051719.346179,107,-332,-16.946972065205944,-8.616230378529337
1746051719.5435648,1746051719.546968,72,-342,-16.210583935875576,-8.953205047350991
1746051719.7421052,1746051719.746461,38,-354,,-9.182993554538456
1746051719.9415293,1746051719.94529,9,-348,-17.723720091361287,-9.751127268783307
1746051720.1432023,1746051720.1473362,-31,-348,-17.817203154861076,-9.824156876299924
1746051720.341643,1746051720.345456,-64,-346,-17.7908864481817,-9.617262053393972
1746051720.544153,1746051720.5482209,-99,-336,-18.120439217798523,-9.744659030174844
1746051720.7417424,1746051720.744875,-133,-321,-17.859391277206363,-9.857948519615277
1746051720.9429328,1746051720.946134,-164,-307,-18.14495996116041,-9.734778803575267
1746051721.1415815,1746051721.1464632,-194,-293,-17.024418193731055,-10.140999884432347
1746051721.3453052,1746051721.3483093,-220,-263,-17.497767822002945,-10.200930880862785
1746051721.5414026,1746051721.5449965,-248,-252,-16.559963734933344,-10.492112278432174
1746051721.7411146,1746051721.7449894,-272,-219,-16.725244452473103,-9.841318238470166
1746051721.940645,1746051721.943681,-292,-194,-15.452864798067285,-10.017705806146765
1746051722.1423235,1746051722.146772,-309,-159,-14.0206231817386,-9.602173740012518
1746051722.3390532,1746051722.3427763,-325,-133,-12.070439914379552,-9.477510118361366
1746051722.5426333,1746051722.5475025,-337,-96,-12.248589190212947,-8.758368293896723
1746051722.7421937,1746051722.746783,-344,-52,-11.65251620686998,-8.679571122844365
1746051722.9408371,1746051722.9441042,-347,-20,-9.91644924706368,-8.07797247830355
1746051723.145321,1746051723.1491137,-351,8,-8.164207003148025,-7.700490370797198
1746051723.3423374,1746051723.347077,-347,48,-8.006933699040484,-6.881973139088458
1746051723.5441349,1746051723.5470767,-343,82,-7.089076245873167,-7.132538871207416
1746051723.7416906,1746051723.745438,-333,114,-6.318748364912307,-7.572444400616931
1746051723.945982,1746051723.9497063,-320,144,-6.023103348185139,-7.599706946299136
1746051724.1413336,1746051724.1458464,-304,170,-5.125753153165712,-6.842876662326887
1746051724.3408349,1746051724.3450286,-286,203,-6.430718309766435,-6.4460116243620575
1746051724.5427468,1746051724.5470805,-262,227,-4.048358774003262,-5.9619794544661175
1746051724.744459,1746051724.7478292,-241,256,-6.2216129838541026,-5.7794858446712
1746051724.941414,1746051724.9452658,-212,277,-4.451414652194069,-5.208703000507029
1746051725.140561,1746051725.1453755,-186,299,-3.593802490152112,-4.836717951377551
1746051725.3417182,1746051725.3454182,-151,314,-4.793720344692014,-4.847745776126089
1746051725.5400355,1746051725.5440862,-121,328,-4.404244777324199,-4.8504110655697446
1746051725.740564,1746051725.7433157,-88,339,-4.344814534989911,-4.685086503569451
1746051725.94164,1746051725.9451623,-56,346,-4.113547349662717,-4.2850559955062835
1746051726.1459453,1746051726.1492653,-20,350,-4.233533353072375,-3.4286929829814596
1746051726.3411052,1746051726.345755,14,350,-3.9520303881791072,-3.314490121396787
1746051726.5444105,1746051726.547925,48,351,-3.260374524982664,-3.3183258674727654
1746051726.7446148,1746051726.748724,87,335,-3.5725828006380276,-3.6255525631452628
1746051726.942281,1746051726.945758,118,334,,-2.8344982434485644
1746051727.1409054,1746051727.1450298,151,316,-3.612149726117581,-3.020590910067824
1746051727.3392165,1746051727.342509,182,293,-3.6419077288893815,-2.884751200775426
1746051727.5409815,1746051727.5444405,212,285,-3.8076322268227347,-2.609531898932829
1746051727.7422016,1746051727.7457008,238,266,-2.8332710329610196,-2.2611081780556646
1746051727.9453042,1746051727.9490328,261,230,-4.573485783081575,-1.3665228076645093
1746051728.1414938,1746051728.1450958,284,204,-3.629926923704521,-1.265025332398693
1746051728.341643,1746051728.3455436,303,173,-6.368063246691922,-0.7097146829159016
1746051728.5482228,1746051728.5519235,319,143,-7.031726425170211,-0.12822591001865646
1746051728.7438788,1746051728.7472994,332,112,-7.977646078523505,-0.571648759001917
1746051728.941,1746051728.9450417,343,65,-8.626363023590127,-0.140101465712263
1746051729.1415124,1746051729.1461103,348,35,-9.567387520427744,-0.5411853267481916
1746051729.337639,1746051729.3411362,351,3,-10.427217541843127,-0.07297818215725727
1746051729.536941,1746051729.5418518,351,-30,-10.723570738756205,-0.012695823181900323
1746051729.7369356,1746051729.7401557,345,-62,-11.337567335175196,-0.24537021258736047
1746051729.9374585,1746051729.941032,337,-99,-10.167032177786322,-0.2958540300379582
1746051730.1371436,1746051730.1413035,325,-127,-11.787994566828019,-0.855966406683109
1746051730.3375175,1746051730.3408844,311,-161,-12.209034979565345,-1.6141832863933274
1746051730.5372584,1746051730.5405748,294,-191,-12.232275563593177,-2.5099842460848834
1746051730.7407608,1746051730.7440257,275,-217,-12.845335560125811,-2.919884994829559
1746051730.937961,1746051730.9416442,250,-249,-13.4461323151648,-4.086111639813467
1746051731.136044,1746051731.1394317,222,-265,-12.895201196772785,-5.063243219890694
1746051731.337545,1746051731.3409832,196,-296,-13.131545018713027,-5.901280252998163
1746051731.536345,1746051731.5396936,167,-301,,-6.92466784062492
1746051731.7336037,1746051731.736617,133,-325,-14.44370906042802,-7.174063683428642
1746051731.9368567,1746051731.9400184,101,-333,-14.275817612054396,-7.916106274655604
1746051732.1400838,1746051732.1446502,69,-344,-15.42786619302689,-7.846929954456002
1746051732.334884,1746051732.3376744,31,-350,-15.527613878197247,-8.0817910141933
1746051732.5373302,1746051732.5412264,-1,-350,-15.376374122046151,-7.945406669676387
1746051732.7373729,1746051732.740615,-37,-351,-16.205048500247422,-7.947413965425369
1746051732.9390304,1746051732.9424417,-69,-344,-14.347944145376115,-7.527760499744687
1746051733.140402,1746051733.1439638,-105,-332,-15.115748101499538,-7.955691242782734
1746051733.3382025,1746051733.3413737,-137,-323,-16.18555823981807,-8.072529271064184
1746051733.5345757,1746051733.5377796,-169,-302,-15.89946097045965,-8.218328329394325
1746051733.7402794,1746051733.744717,-199,-293,-15.628382330997244,-8.329760132614368
1746051733.9381008,1746051733.9416971,-227,-268,-15.676380025828404,-7.9667063543727465
1746051734.138268,1746051734.1414137,-251,-240,-15.038459733746333,-8.601567326235909
1746051734.3366768,1746051734.340182,-274,-216,-14.81084181072406,-8.895798250596044
1746051734.538629,1746051734.5421858,-295,-194,-14.102405579992631,-8.75326950891592
1746051734.7365806,1746051734.7398546,-313,-154,-12.957300784333832,-8.06922130042561
