Img TS,Img name,Enc TS,Encoder counts 1,Encoder counts 0
1746051712.540556,Image_175.jpg,1746051712.5441103,-237,257
1746051712.741656,Image_176.jpg,1746051712.7461698,-237,257
1746051712.942247,Image_177.jpg,1746051712.9460437,-119,318
1746051713.144255,Image_178.jpg,1746051713.1474512,-95,340
1746051713.3426867,Image_179.jpg,1746051713.3470795,-59,343
1746051713.542095,Image_180.jpg,1746051713.5456867,-26,352
1746051713.7426834,Image_181.jpg,1746051713.74603,10,352
1746051713.9428434,Image_182.jpg,1746051713.946775,44,344
1746051714.1430712,Image_183.jpg,1746051714.1464992,81,341
1746051714.3419647,Image_184.jpg,1746051714.345244,111,331
1746051714.543713,Image_185.jpg,1746051714.5480316,148,319
1746051714.740752,Image_186.jpg,1746051714.7439132,178,294
1746051714.9429467,Image_187.jpg,1746051714.9464939,206,289
1746051715.1413424,Image_188.jpg,1746051715.1458383,233,263
1746051715.341177,Image_189.jpg,1746051715.3451467,258,235
1746051715.542122,Image_190.jpg,1746051715.5457206,281,212
1746051715.7440653,Image_191.jpg,1746051715.7477627,300,175
1746051715.9443994,Image_192.jpg,1746051715.9478173,318,151
1746051716.1390502,Image_193.jpg,1746051716.1427574,330,112
1746051716.3407645,Image_194.jpg,1746051716.345051,341,82
1746051716.5433784,Image_195.jpg,1746051716.5464947,344,58
1746051716.74157,Image_196.jpg,1746051716.745419,350,21
1746051716.9412773,Image_197.jpg,1746051716.9447074,350,-22
1746051717.1446266,Image_198.jpg,1746051717.1484058,345,-58
1746051717.3379064,Image_199.jpg,1746051717.3415823,339,-95
1746051717.5414693,Image_200.jpg,1746051717.546189,330,-125
1746051717.7409763,Image_201.jpg,1746051717.7453365,314,-154
1746051717.941874,Image_202.jpg,1746051717.9456563,297,-185
1746051718.1417167,Image_203.jpg,1746051718.1450207,277,-211
1746051718.3413148,Image_204.jpg,1746051718.34684,255,-246
1746051718.5418642,Image_205.jpg,1746051718.5452218,227,-261
1746051718.7418756,Image_206.jpg,1746051718.7464018,201,-291
1746051718.9450629,Image_207.jpg,1746051718.9484806,173,-300
1746051719.1415403,Image_208.jpg,1746051719.1447883,140,-327
